1,2,3,4,5,6,7,8,9,10,11
1,1,0,0,3.7,0,0,0,0,0,70
1,1,1,0,2.9,0,0,0,0,0,76
1,1,2,0,2.1,0,0,0,0,0,83
1,1,3,0,1.3,0,0,0,0,0,89
1,1,4,0,0.5,0,0,0,0,0,94
1,1,5,0,-0.1,0,0,0,0,0,97
1,1,6,0,-0.4,0,0,0,0,0,98
1,1,7,0,-0.3,0,0,0,0,0,98
1,1,8,0,0.3,130.87,430.059911,280.0512421,49.087,49.087,95
1,1,9,0,1.5,394.71,590.3321558,519.4414188,139.471,139.471,88
1,1,10,0,3.2,618.17,593.1512337,686.9791237,212.317,212.317,79
1,1,11,0,5.2,275,165,165,165,165,69
1,1,12,0,7.2,311,186.6,186.6,186.6,186.6,60
1,1,13,0,9.1,310,186,186,186,186,52
1,1,14,0,10.7,273,163.8,163.8,163.8,163.8,48
1,1,15,0,11.5,206,123.6,123.6,123.6,123.6,47
1,1,16,0,11.2,124,74.4,74.4,74.4,74.4,50
1,1,17,0,10.3,42,25.2,25.2,25.2,25.2,55
1,1,18,0,9.2,0,0,0,0,0,61
1,1,19,0,8,0,0,0,0,0,68
1,1,20,0,6.9,0,0,0,0,0,75
1,1,21,0,6.1,0,0,0,0,0,80
1,1,22,0,5.6,0,0,0,0,0,84
1,1,23,0,5.3,0,0,0,0,0,86
1,1,0,0,3.7,0,0,0,0,0,70
1,1,1,0,2.9,0,0,0,0,0,76
1,1,2,0,2.1,0,0,0,0,0,83
1,1,3,0,1.3,0,0,0,0,0,89
1,1,4,0,0.5,0,0,0,0,0,94
1,1,5,0,-0.1,0,0,0,0,0,97
1,1,6,0,-0.4,0,0,0,0,0,98
1,1,7,0,-0.3,0,0,0,0,0,98
1,1,8,0,0.3,130.87,430.059911,280.0512421,49.087,49.087,95
1,1,9,0,1.5,394.71,590.3321558,519.4414188,139.471,139.471,88
1,1,10,0,3.2,618.17,593.1512337,686.9791237,212.317,212.317,79
1,1,11,0,5.2,275,165,165,165,165,69
1,1,12,0,7.2,311,186.6,186.6,186.6,186.6,60
1,1,13,0,9.1,310,186,186,186,186,52
1,1,14,0,10.7,273,163.8,163.8,163.8,163.8,48
1,1,15,0,11.5,206,123.6,123.6,123.6,123.6,47
1,1,16,0,11.2,124,74.4,74.4,74.4,74.4,50
1,1,17,0,10.3,42,25.2,25.2,25.2,25.2,55
1,1,18,0,9.2,0,0,0,0,0,61
1,1,19,0,8,0,0,0,0,0,68
1,1,20,0,6.9,0,0,0,0,0,75
1,1,21,0,6.1,0,0,0,0,0,80
1,1,22,0,5.6,0,0,0,0,0,84
1,1,23,0,5.3,0,0,0,0,0,86
1,1,0,0,3.7,0,0,0,0,0,70
1,1,1,0,2.9,0,0,0,0,0,76
1,1,2,0,2.1,0,0,0,0,0,83
1,1,3,0,1.3,0,0,0,0,0,89
1,1,4,0,0.5,0,0,0,0,0,94
1,1,5,0,-0.1,0,0,0,0,0,97
1,1,6,0,-0.4,0,0,0,0,0,98
1,1,7,0,-0.3,0,0,0,0,0,98
1,1,8,0,0.3,130.87,430.059911,280.0512421,49.087,49.087,95
1,1,9,0,1.5,394.71,590.3321558,519.4414188,139.471,139.471,88
1,1,10,0,3.2,618.17,593.1512337,686.9791237,212.317,212.317,79
1,1,11,0,5.2,275,165,165,165,165,69
1,1,12,0,7.2,311,186.6,186.6,186.6,186.6,60
1,1,13,0,9.1,310,186,186,186,186,52
