,action1,action3,action5
0,26.0,25.5,26.0
1,26.0,25.5,26.0
2,26.0,25.5,26.0
3,26.0,25.5,26.0
4,26.0,25.5,26.0
5,26.0,25.5,26.0
6,25.5,25.5,25.5
7,25.5,25.5,25.5
8,25.5,25.5,25.5
9,25.5,25.5,25.5
10,25.5,25.5,25.5
11,25.5,25.5,25.5
12,25.5,27.0,25.5
13,25.5,27.0,25.5
14,25.5,27.0,25.5
15,25.5,27.0,25.5
16,25.5,27.0,25.5
17,25.5,27.0,25.5
18,25.5,27.0,25.5
19,25.5,27.0,25.5
20,25.5,27.0,25.5
21,25.5,27.0,25.5
22,25.5,27.0,25.5
23,25.5,27.0,25.5
24,25.5,27.0,25.5
25,25.5,27.0,25.5
26,25.5,27.0,25.5
27,25.5,27.0,25.5
28,25.5,27.0,25.5
29,26.5,25.5,25.5
30,26.5,25.5,25.5
31,26.5,25.5,25.5
32,26.5,25.5,25.5
33,26.5,25.5,25.5
34,26.5,25.5,25.5
35,26.5,25.5,25.5
36,26.5,25.5,25.5
37,26.5,26.5,26.0
38,26.5,26.5,26.0
39,26.5,26.5,26.0
40,26.5,26.5,26.0
41,26.5,26.5,26.0
42,26.5,26.5,26.0
43,26.5,26.5,26.0
44,26.5,26.5,26.0
45,26.5,26.5,26.0
46,26.5,26.5,26.0
47,25.5,26.0,26.5
48,25.5,26.0,26.5
49,25.5,26.0,26.5
50,25.5,26.0,26.5
51,25.5,26.0,26.5
52,25.5,26.0,25.5
53,25.5,26.0,25.5
54,25.5,26.0,25.5
55,25.5,26.0,25.5
56,25.5,26.0,25.5
57,25.5,26.0,25.5
58,25.5,26.0,25.5
59,25.5,26.0,25.5
60,25.5,26.0,25.5
61,25.5,26.0,25.5
62,25.5,26.0,25.5
63,25.5,26.0,25.5
64,26.5,25.5,25.5
65,26.5,25.5,25.5
66,26.5,25.5,25.5
67,26.0,25.5,25.0
68,26.0,25.5,25.0
69,26.0,25.5,25.0
70,26.0,25.5,25.0
71,26.0,25.5,25.0
72,27.0,26.0,26.0
73,27.0,26.0,26.0
74,26.5,27.0,25.0
75,26.5,27.0,25.0
76,25.5,25.5,26.0
77,25.5,25.5,26.0
78,25.5,25.5,26.0
79,25.5,25.5,26.0
80,25.5,25.5,26.0
81,25.5,25.5,26.0
82,25.5,25.5,25.5
83,25.5,25.5,25.5
84,25.5,25.5,25.5
85,25.5,26.0,25.5
86,25.5,26.0,25.5
87,25.5,26.0,25.5
88,26.5,26.0,26.5
89,25.0,25.0,26.0
90,25.0,25.0,26.0
91,25.0,25.0,26.0
92,25.0,25.0,26.0
93,26.5,27.0,25.0
94,26.5,27.0,25.0
95,26.5,27.0,25.0
96,25.0,25.0,26.0
97,25.0,25.0,26.0
98,27.0,25.5,25.0
99,27.0,25.5,25.0
100,27.0,25.5,25.0
101,27.0,25.5,25.0
102,27.0,25.5,25.0
103,25.0,25.0,26.0
104,25.0,25.0,26.0
105,25.5,26.5,25.5
106,25.5,26.5,25.5
107,25.5,26.5,25.5
108,27.0,25.5,25.0
109,27.0,25.5,25.0
110,27.0,25.5,25.0
111,27.0,25.5,25.0
112,27.0,25.5,25.0
113,27.0,25.5,25.0
114,27.0,25.5,25.0
115,27.0,25.5,25.0
116,27.0,25.5,25.0
117,27.0,25.5,25.0
118,27.0,25.5,25.0
119,27.0,25.5,25.0
120,27.0,25.5,25.0
121,27.0,25.5,25.0
122,27.0,25.5,25.0
123,27.0,25.5,25.0
124,25.5,25.5,25.5
125,25.5,25.5,25.5
126,25.5,26.0,25.5
127,25.5,26.0,25.5
128,25.5,26.0,25.5
129,25.5,26.0,25.5
130,25.5,26.0,25.5
131,25.5,26.0,25.5
132,25.5,25.5,25.5
133,25.5,25.5,25.5
134,25.5,25.5,25.5
135,25.5,25.5,25.5
136,25.5,25.5,25.5
137,26.0,26.5,25.5
138,26.0,26.5,25.5
139,25.5,25.0,25.0
140,25.5,25.0,25.0
141,25.5,25.0,25.0
142,27.0,25.5,25.0
143,27.0,26.5,25.5
144,27.0,26.5,25.5
145,27.0,26.5,25.5
146,27.0,26.5,25.5
147,27.0,26.5,25.5
148,27.0,26.5,25.5
149,27.0,26.5,25.5
150,26.0,25.5,24.5
151,25.0,26.5,25.0
152,25.0,26.5,25.0
153,25.0,26.5,25.0
154,25.0,26.5,25.0
155,25.0,26.5,25.0
156,25.0,26.5,25.0
157,26.0,25.5,24.5
158,26.0,25.5,24.5
159,26.0,25.5,24.5
160,26.0,25.5,24.5
161,26.0,25.5,24.5
162,26.0,25.5,24.5
163,26.0,25.5,24.5
164,26.0,25.5,24.5
165,26.0,25.5,24.5
166,26.0,25.5,24.5
167,26.0,25.5,24.5
168,26.0,25.5,24.5
169,26.0,25.5,24.5
170,26.0,25.5,24.5
171,26.0,25.5,24.5
172,26.0,25.5,25.5
173,26.0,25.5,25.5
174,26.0,25.5,25.5
175,26.0,25.5,25.5
176,26.0,25.5,25.5
177,26.0,25.5,25.5
178,26.0,25.5,25.5
179,26.0,25.5,25.5
180,26.0,25.5,25.5
181,26.0,25.5,25.5
182,26.0,25.5,27.0
183,26.0,25.5,27.0
184,26.0,25.5,27.0
185,27.0,26.0,27.0
186,27.0,26.0,27.0
187,27.0,26.0,27.0
188,27.0,26.0,27.0
189,27.0,26.0,27.0
190,27.0,26.0,27.0
191,27.0,26.0,27.0
192,27.0,26.0,27.0
193,27.0,26.0,27.0
194,27.0,26.0,27.0
195,27.0,26.0,27.0
196,27.0,26.0,27.0
197,26.5,25.5,25.5
198,26.5,25.5,25.5
199,26.5,25.5,25.5
200,26.5,25.5,25.5
201,25.0,24.5,26.0
202,25.0,24.5,26.0
203,25.0,24.5,26.0
204,25.0,24.5,26.0
205,25.0,24.5,26.0
206,25.0,24.5,26.0
207,25.0,24.5,26.0
208,25.0,24.5,26.0
