,reward,avg_return,load,penalty
0,-336.0653099,-336.0653099,52.06319868,4778.182459
1,-367.7769003,-351.9211051,53.78168996,5250.876947
2,-403.699367,-369.1805257,56.61673807,5781.02273
3,-434.5271641,-385.5171853,60.09295928,6226.876368
4,-470.2929609,-402.4723404,64.93565375,6741.510211
5,-477.5372983,-414.9831667,66.61983861,6841.259682
6,-305.2228976,-399.3031283,57.3891582,4267.750663
7,-308.3383285,-387.9325283,56.40748136,4322.733689
8,-308.8538589,-379.1460095,54.49915696,4344.859187
9,-314.8971426,-372.7211228,57.1018536,4418.634377
10,-318.2709154,-367.771104,58.6135287,4458.860523
11,-297.3286593,-361.9009002,54.59653886,4167.793998
12,-315.2837825,-358.3149681,55.93247888,4432.280083
13,-302.9310127,-354.3589713,54.82012585,4250.431113
14,-286.6230345,-349.8432422,53.74466441,4009.533322
15,-305.4580931,-347.0691704,58.15985718,4266.686218
16,-282.2550127,-343.2565728,53.97307448,3940.201898
17,-285.6802646,-340.0578891,56.38986557,3976.253396
18,-276.9217521,-336.7349345,55.18482166,3851.533844
19,-312.2333257,-335.509854,57.34736368,4375.867962
20,-287.186723,-333.2087526,55.74906013,4003.006881
21,-304.9102899,-331.9224588,58.23272771,4257.078482
22,-241.5345836,-327.9925512,55.0317901,3309.95991
23,-170.9310413,-321.4483216,51.3929052,2255.025962
24,-169.3141293,-315.3629539,50.97419818,2232.928626
25,-169.2152361,-309.7418878,50.60765807,2234.285601
26,-175.4371392,-304.7676379,50.45277599,2330.661593
27,-170.9119683,-299.9870783,51.2788553,2255.52326
28,-170.0129124,-295.5052105,51.35187791,2241.407695
29,-165.6859117,-291.1779005,50.53494597,2180.527607
30,-163.4984351,-287.0592081,50.58142118,2146.847891
31,-156.8249822,-282.9893885,50.20369337,2047.295736
32,-162.1762742,-279.3283851,50.55659456,2126.934827
33,-161.1464332,-275.8524453,50.91521525,2108.688304
34,-160.4241676,-272.5544945,51.24382425,2095.102693
35,-158.1293114,-269.3760172,50.59006953,2064.991143
36,-153.8867932,-266.2546868,50.20128035,2002.375982
37,-155.6827811,-263.3448998,50.48605716,2027.902536
38,-161.2607651,-260.7273579,50.83490185,2110.63005
39,-158.8013105,-258.1792067,50.87629294,2072.91195
40,-158.6570011,-255.7518359,50.78581539,2071.428636
41,-158.9822773,-253.4477987,49.99826924,2081.804129
42,-162.0412323,-251.3220646,50.44283439,2125.42703
43,-158.2521653,-249.2068397,50.31649352,2068.396136
44,-154.6893041,-247.10645,50.55012067,2012.349878
45,-158.9713873,-245.1904704,50.85740959,2075.758454
46,-156.8495791,-243.3108769,50.55447341,2045.501127
47,-156.0502995,-238.0028848,50.51168643,2033.280978
48,-156.0427216,-239.6753866,50.77062685,2031.425601
49,-152.4400047,-241.4177338,50.53694894,1977.886808
