,action1,action2,action3
0,25.5,24.5,25.5
1,24.5,24.5,25.5
2,25.5,24.5,26.0
3,25.5,26.5,25.5
4,25.5,24.0,24.5
5,26.0,24.0,24.5
6,25.5,25.5,25.5
7,26.5,24.5,25.5
8,24.0,24.0,26.0
9,24.5,25.0,24.5
10,24.0,25.0,26.0
11,24.5,26.5,24.0
12,26.0,24.5,26.0
13,25.0,26.5,24.0
14,24.0,26.5,24.5
15,24.5,24.5,25.0
16,24.0,25.0,24.0
17,24.5,24.0,25.0
18,24.0,25.0,24.5
19,24.0,24.5,26.5
20,24.0,26.5,25.0
21,24.5,26.0,24.0
22,25.5,25.5,26.0
23,26.5,24.5,26.5
24,26.5,24.0,25.5
25,25.0,25.5,26.0
26,26.5,26.0,25.0
27,26.0,26.0,24.0
28,26.5,26.5,24.0
29,24.5,25.0,24.0
30,25.5,25.5,25.0
31,25.0,25.5,26.0
32,26.0,24.0,24.5
33,26.0,26.0,25.0
34,25.0,25.0,26.5
35,24.5,24.0,24.0
36,24.5,24.0,25.0
37,25.5,26.0,24.0
38,26.5,25.0,24.0
39,25.0,25.5,25.0
40,24.5,24.5,26.0
41,25.0,26.5,24.0
42,24.0,24.0,26.5
43,25.0,25.5,24.0
44,25.5,25.0,24.5
45,25.0,25.5,26.0
46,24.5,25.5,26.0
47,26.0,25.0,26.0
48,24.5,24.0,26.0
49,25.0,24.5,24.0
50,24.0,25.5,25.0
51,26.5,24.0,26.5
52,25.0,25.0,26.0
53,25.0,24.5,26.0
54,25.5,26.0,25.5
55,25.5,24.0,25.5
56,24.5,24.0,26.5
57,24.5,26.0,26.5
58,24.5,25.5,24.5
59,25.0,24.5,26.5
60,24.5,25.5,24.0
61,24.5,26.5,25.5
62,24.5,25.5,25.5
63,24.0,25.0,25.0
64,24.5,24.5,26.0
65,26.0,26.5,26.0
66,25.0,25.5,25.5
67,26.5,24.0,26.5
68,25.0,26.0,26.0
69,24.0,25.5,25.0
70,24.0,25.5,24.0
71,26.0,24.5,26.0
72,26.0,25.5,25.0
73,26.0,25.5,25.0
74,26.0,25.0,24.0
75,26.5,26.0,24.0
76,26.5,26.5,26.0
77,26.0,25.5,26.0
78,26.0,25.5,25.0
79,26.5,26.0,26.5
80,26.5,25.0,24.5
81,25.0,26.5,25.0
82,24.0,24.0,25.5
83,25.0,25.5,24.5
84,24.5,26.5,26.0
85,26.0,26.0,25.5
86,25.5,25.5,26.0
87,25.5,26.0,26.0
88,24.0,25.0,25.0
89,25.0,24.5,24.5
90,24.0,25.0,24.0
91,26.0,24.5,24.5
92,24.5,26.5,26.0
93,25.0,26.0,25.5
94,24.5,25.0,24.5
95,26.5,25.5,24.5
96,26.5,24.5,25.5
97,25.0,25.0,26.5
98,24.5,25.5,26.0
99,25.0,25.5,25.0
100,25.5,25.5,26.0
101,24.5,24.0,24.5
102,25.0,26.5,26.5
103,24.0,24.5,26.0
104,25.5,26.5,25.0
105,26.5,26.0,26.0
106,24.5,26.5,24.0
107,25.5,24.0,25.5
108,26.0,25.0,24.5
109,25.0,25.5,25.0
110,26.0,26.5,26.5
111,24.0,26.5,26.5
112,25.5,25.0,24.0
113,26.5,24.5,25.0
114,26.0,24.5,24.0
115,26.5,26.0,24.5
116,24.0,26.0,25.0
117,26.5,26.0,26.0
118,24.5,26.0,26.5
119,26.5,26.0,25.0
120,26.0,26.5,26.5
121,25.5,26.5,24.0
122,25.5,24.0,26.0
123,26.5,26.5,26.0
124,25.5,25.0,26.5
125,26.5,25.5,25.5
126,25.0,26.0,26.5
127,26.5,25.5,25.0
128,25.5,24.0,26.0
129,24.5,24.5,24.5
130,24.5,26.5,24.0
131,26.5,25.5,24.0
132,25.0,25.5,24.0
133,25.5,24.5,26.5
134,26.5,24.0,25.5
135,25.0,25.0,25.0
136,26.5,24.0,25.0
137,26.0,24.0,25.0
138,25.5,26.5,25.0
139,24.5,26.0,24.0
140,25.5,24.5,24.5
141,25.5,26.0,24.0
142,24.0,25.5,26.0
143,25.0,25.5,26.5
144,26.0,25.0,25.5
145,24.5,24.5,24.5
146,25.5,24.0,25.5
147,26.5,26.0,24.0
148,26.5,24.0,26.5
149,24.0,26.5,24.5
150,25.5,25.0,25.5
151,25.5,25.0,26.0
152,25.0,24.0,26.0
153,26.5,25.5,24.5
154,26.0,26.5,25.0
155,25.5,25.5,25.0
156,26.5,24.0,25.0
157,25.0,25.5,25.5
158,25.5,24.5,26.5
159,26.0,25.0,25.0
160,25.5,24.0,24.5
161,24.5,25.5,24.5
162,26.5,25.5,25.5
163,24.0,24.5,26.5
164,25.5,26.5,24.5
165,25.0,25.0,24.0
166,25.5,24.5,26.0
167,26.5,26.0,26.0
168,24.5,26.5,25.0
169,26.0,24.0,25.5
170,26.5,25.5,26.5
171,26.5,25.5,26.5
172,25.0,24.0,26.0
173,26.5,26.0,26.5
174,25.5,25.5,26.5
175,24.5,24.0,26.5
176,26.0,25.5,24.0
177,24.0,24.0,24.0
178,25.5,25.0,26.5
179,25.0,24.5,26.5
180,24.5,25.0,25.5
181,25.0,25.0,24.0
182,24.5,26.5,26.0
183,26.0,25.0,25.5
184,25.0,26.0,24.5
185,24.0,26.5,26.5
186,24.5,25.0,25.0
187,25.5,26.0,26.5
188,26.5,25.5,25.5
189,25.0,26.0,25.5
190,25.0,26.0,26.0
191,26.0,24.0,25.5
192,26.0,24.5,25.5
193,26.5,26.0,24.5
194,25.0,26.5,26.5
195,25.0,26.0,26.0
196,26.0,24.5,24.0
197,25.5,25.0,25.5
198,24.5,26.0,26.5
199,24.0,25.0,24.0
200,24.0,24.0,24.0
201,24.5,26.5,24.5
202,24.5,26.0,25.0
203,26.0,26.0,26.5
204,26.0,25.5,24.5
205,25.5,26.0,25.0
206,24.0,25.5,25.5
207,26.0,26.0,26.5
208,26.5,25.5,24.5
209,26.0,24.0,26.5
210,24.5,24.0,25.5
211,26.5,24.0,24.0
212,24.5,26.0,26.5
213,25.5,25.0,26.0
214,26.5,24.5,25.0
215,25.0,26.0,25.0
216,26.5,24.0,24.5
217,25.0,26.0,25.5
218,25.0,26.5,24.0
219,24.0,26.5,26.5
220,24.0,24.5,24.0
221,24.5,24.0,25.0
222,26.5,25.0,26.0
223,24.0,26.5,24.5
224,26.0,25.5,26.5
225,25.5,24.5,26.5
226,26.0,25.0,24.5
227,25.5,24.0,25.0
228,24.5,26.0,24.5
229,24.0,24.0,24.5
230,24.0,26.0,25.5
231,24.0,26.0,25.5
232,24.0,24.0,25.0
233,26.0,25.5,26.0
234,25.0,26.5,24.5
235,25.0,24.0,24.0
236,26.5,24.0,24.5
237,26.5,26.5,24.5
238,25.5,26.0,24.0
239,26.5,24.5,26.0
240,25.5,26.5,26.5
241,26.5,25.5,25.5
242,26.5,24.5,24.5
243,25.0,26.5,25.0
244,26.0,25.0,25.0
245,25.5,25.5,25.0
246,25.5,26.0,24.5
247,25.5,25.0,26.5
248,26.5,26.5,25.0
249,25.5,25.5,26.0
250,25.0,25.5,25.0
251,24.0,26.5,25.0
252,25.5,25.0,25.0
253,25.5,26.0,26.0
254,26.5,24.5,24.5
255,26.0,25.0,24.5
256,26.0,26.5,25.0
257,24.5,24.0,25.5
258,25.0,24.0,24.5
259,25.0,25.5,26.5
260,25.5,26.5,25.5
261,25.5,25.5,25.5
262,26.0,25.0,24.5
263,25.0,26.5,24.0
264,25.5,26.5,25.5
265,24.5,24.0,26.0
266,26.5,26.0,24.0
267,24.0,26.0,25.5
268,25.5,24.0,25.5
269,26.5,26.0,25.0
